Year,GDP_per_capita
1960,92.96046972
1961,96.97904472
1962,104.3870197
1963,107.5405681
1964,113.1687212
1965,117.1886325
1966,124.3077828
1967,99.40607496
1968,97.20175178
1969,121.2453641
1970,224.1044767
1971,160.2487501
1972,209.2260626
1973,252.232652
1974,402.849847
1975,438.33124
1976,556.702179
1977,536.2162268
1978,527.3112654
1979,662.2640537
1980,874.4022258
1981,2180.197708
1982,1843.909186
1983,1222.62932
1984,902.2158721
1985,882.5199059
1986,639.0131009
1987,598.2648417
1988,549.2374755
1989,474.2321023
1990,567.5286729
1991,502.9141389
1992,477.1776142
1993,270.2239615
1994,321.3206772
1995,408.18106
1996,461.5195779
1997,479.9837556
1998,469.4305648
1999,497.8415405
2000,567.930736
2001,590.381815
2002,741.7475112
2003,795.3862467
2004,1007.874328
2005,1268.383443
2006,1656.424759
2007,1883.461311
2008,2242.871886
2009,1891.33537
2010,2292.445156
2011,2520.404166
2012,2746.991789
2013,2998.072843
2014,3222.693537
2015,2730.430324
2016,2175.99967
2017,1968.559588
2018,2032.729709
2019,2229.858696
